Country,"Population, total",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),GDP growth (annual %),GDP (current US$),Statistical performance indicators (SPI): Overall score (scale 0-100),"Annual freshwater withdrawals, total (% of internal resources)","Unemployment, total (% of total labor force) (modeled ILO estimate)",People using safely managed sanitation services (% of population),Population growth (annual %),Forest area (% of land area),Proportion of seats held by women in national parliaments (%),"Electricity production from renewable sources, excluding hydroelectric (% of total)","Inflation, consumer prices (annual %)",Access to electricity (% of population),Human Capital Index (HCI) (scale 0-1),"Foreign direct investment, net inflows (% of GDP)",GDP per capita (current US$),"Personal remittances, received (% of GDP)","Life expectancy at birth, total (years)",CO2 emissions (metric tons per capita),Net migration,"Central government debt, total (% of GDP)",Individuals using the Internet (% of population),"Intentional homicides (per 100,000 people)"
Afghanistan,"42,239,854",,-6.2,14.5,58.0,43,14.4,,2.7,1.9,27,,2.3,85.3,0.4,0.1,352.6,2.6,63,0.2,"-65,846",,18,4
Albania,"2,745,972",0.0,3.4,22.98,83.4,3,11.6,56,-1.1,28.8,36,0.0,6.7,100.0,0.6,7.6,"8,367.8",8.6,77,1.5,"-8,000",82.4,83,2
Algeria,"45,606,480",0.5,4.1,239.9,63.2,87,11.8,62,1.6,0.8,8,0.1,9.3,100.0,0.5,0.0,"5,260.2",0.7,77,3.7,"-9,999",,71,2
American Samoa,"43,914",,1.7,"871,000,000",,,,37,-0.8,85.5,,,,,,,"19,673.4",,,,-790,,,0
Andorra,"80,088",,1.4,3.73,,,,100,0.3,34.0,50,,,100.0,,,"46,544.7",0.0,,5.8,200,,94,3
Angola,"36,684,202",31.1,0.9,84.72,53.5,0,14.6,,3.0,53.0,34,0.0,13.6,48.5,0.4,-6.3,"2,309.5",0.0,62,0.6,"-1,000",,33,4
Antigua and Barbuda,"94,298",,3.9,2.03,48.2,8,,,0.6,18.3,6,,5.1,100.0,0.6,16.2,"21,560.2",2.4,79,5.1,0,,96,17
Argentina,"46,654,581",0.6,-1.6,640.59,71.8,13,6.2,46,0.9,10.4,43,1.9,,100.0,0.6,2.4,"13,730.5",0.2,76,3.4,"3,718",,88,5
Armenia,"2,777,970",0.8,8.7,24.21,82.8,41,8.6,11,-0.1,11.5,36,0.1,2.0,100.0,0.6,5.1,"8,715.8",7.6,73,2.4,"-5,000",46.6,79,2
Aruba,"106,277",,10.5,3.54,,,,,-0.2,2.3,,,4.3,99.9,,7.0,"33,300.8",1.1,75,,157,,97,2
Australia,"26,638,544",0.5,3.0,1.72,89.9,2,3.7,96,2.4,17.4,38,8.3,5.6,100.0,0.8,4.1,"64,711.8",0.1,83,14.8,"139,991",58.0,96,1
Austria,"9,132,383",0.5,-0.8,516.03,90.0,6,5.2,100,1.0,47.3,41,16.5,7.8,100.0,0.7,2.1,"56,506.0",0.6,81,6.6,"19,999",75.1,94,1
Azerbaijan,"10,112,555",0.0,1.1,72.36,73.5,155,5.6,69,-0.3,13.8,19,0.4,8.8,100.0,0.6,-5.7,"7,155.1",3.9,73,3.4,0,16.8,86,2
"Bahamas, The","412,623",,2.6,14.34,54.1,,9.2,,0.6,50.9,18,,3.1,100.0,,4.0,"34,749.6",0.4,74,6.0,"1,000",82.2,94,29
Bahrain,"1,485,509",,2.5,43.2,59.4,"3,878",1.2,92,0.9,0.9,20,0.0,0.1,100.0,0.7,4.4,"29,084.3",0.0,79,22.0,0,115.5,100,0
Bangladesh,"172,954,319",5.0,5.8,437.42,69.7,34,5.1,31,1.0,14.5,21,0.3,9.9,99.4,0.5,0.4,"2,529.1",5.3,74,0.5,"-309,977",31.2,39,2
Barbados,"281,995",,4.5,6.39,64.6,88,8.0,,0.1,14.7,27,,9.8,100.0,,3.4,"22,672.6",1.3,78,3.9,-80,146.5,86,11
Belarus,"9,178,298",0.0,3.9,71.86,86.7,4,3.6,75,-0.5,43.3,40,0.5,5.0,100.0,0.7,2.2,"7,829.1",1.9,73,5.8,"-4,282",33.2,90,2
Belgium,"11,822,592",0.0,1.4,632.22,88.9,35,5.5,95,1.2,22.8,43,20.3,4.0,100.0,0.8,2.1,"53,475.3",2.3,82,7.4,"23,999",94.0,94,1
Belize,"410,825",,4.5,3.28,61.9,1,8.3,,1.4,55.5,16,,4.4,98.6,,5.0,"7,987.6",4.6,71,1.7,600,61.4,62,31
Benin,"13,712,828",12.7,6.4,19.67,62.6,1,1.5,3,2.7,27.4,27,1.5,2.7,56.5,0.4,1.5,"1,434.7",1.2,60,0.6,-200,,34,1
Bermuda,"63,489",,6.4,7.83,,,,,-0.2,18.5,,,,100.0,,-0.4,"123,091.1",23.0,82,,0,,98,11
Bhutan,"787,424",0.0,5.2,2.9,59.6,0,5.7,51,0.6,71.5,17,,4.2,100.0,0.5,0.3,"3,704.0",3.3,72,1.3,300,111.0,86,2
Bolivia,"12,388,571",2.0,2.4,45.85,71.2,1,3.1,,1.3,46.7,46,2.5,2.6,99.9,,0.0,"3,701.0",3.2,65,1.5,"-3,000",68.3,66,3
Bosnia and Herzegovina,"3,210,847",0.1,1.7,27.05,70.6,1,10.4,55,-0.7,42.7,19,0.0,2.1,100.0,0.6,3.3,"8,426.1",10.5,75,6.3,-500,41.7,79,1
Botswana,"2,675,352",15.4,2.7,19.4,61.2,9,23.4,,1.7,26.7,11,0.0,5.1,75.9,0.4,1.1,"7,249.8",0.3,66,2.3,"3,000",19.6,74,11
Brazil,"216,422,446",3.5,2.9,2.17,80.5,1,8.0,50,0.5,59.3,18,12.1,4.6,100.0,0.6,3.8,"10,043.6",0.2,73,1.9,"6,000",79.1,81,22
British Virgin Islands,"31,538",,,,,,,,0.7,24.1,,,,100.0,,,,,76,,200,,78,8
Brunei Darussalam,"452,524",,1.4,15.13,64.4,1,5.3,,0.8,72.1,12,0.0,0.4,100.0,0.6,-1.8,"33,430.9",0.0,75,21.7,0,,98,0
Bulgaria,"6,430,370",0.7,1.8,101.58,83.9,24,4.3,73,-0.5,36.0,24,6.4,9.4,100.0,0.6,3.6,"15,797.6",2.4,74,4.9,"-4,800",30.3,79,1
